DATE_TIME,LAT_DEG,LON_DEG,POS_STRING,ALT,ALT_UNITS,DATUM,HDG_DEG,HDG_MILS,HDG_TYPE,VERT,HORIZ,VH_UNITS,NOTE
2020.01.02_11.20.21,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,237,4213,TRUE,14.0,-2.2,DEG
2020.01.02_11.20.22,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,238,4231,TRUE,14.6,-2.6,DEG
2020.01.02_11.20.23,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,244,4338,TRUE,16.6,-2.7,DEG
2020.01.02_11.20.24,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,248,4409,TRUE,16.6,-3.5,DEG
2020.01.02_11.20.25,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,254,4516,TRUE,16.6,-3.5,DEG
2020.01.02_11.20.26,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,256,4551,TRUE,15.2,-3.7,DEG
2020.01.02_11.20.27,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,259,4604,TRUE,15.3,-5.1,DEG
2020.01.02_11.20.28,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,265,4711,TRUE,17.0,-4.7,DEG
2020.01.02_11.20.29,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,268,4764,TRUE,18.3,-5.1,DEG
2020.01.02_11.20.29,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,270,4800,TRUE,18.8,-5.7,DEG
2020.01.02_11.20.30,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,274,4871,TRUE,20.2,-5.1,DEG
2020.01.02_11.20.30,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,277,4924,TRUE,20.8,-4.7,DEG
2020.01.02_11.20.33,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,295,5244,TRUE,22.2,-4.8,DEG
2020.01.02_11.20.33,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,296,5262,TRUE,21.5,-4.4,DEG
2020.01.02_11.20.37,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,296,5262,TRUE,22.4,-1.3,DEG
2020.01.02_11.20.37,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,297,5280,TRUE,22.9,-1.9,DEG
2020.01.02_11.20.38,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,299,5316,TRUE,24.3,-2.4,DEG
2020.01.02_11.20.39,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,301,5351,TRUE,24.0,-3.1,DEG
2020.01.02_11.20.39,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,303,5387,TRUE,23.3,-4.3,DEG
2020.01.02_11.20.40,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,307,5458,TRUE,21.6,-4.7,DEG
2020.01.02_11.20.41,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,310,5511,TRUE,20.4,-4.7,DEG
2020.01.02_11.20.42,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,316,5618,TRUE,20.7,-5.4,DEG
2020.01.02_11.20.42,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,320,5689,TRUE,21.5,-6.5,DEG
2020.01.02_11.20.43,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,324,5760,TRUE,21.0,-6.7,DEG
2020.01.02_11.20.44,46.315684,8.489550,"+046.315684d / +008.489550d",4916,FEET,WGE,328,5831,TRUE,20.3,-5.5,DEG
